Gene.ID	Product.Description	Transcript.Length	Geneid	chrom	subfam	SorL	subtelomere	chapl_aapl	chapl_aapl_name
PCHAS_0500200	PIR protein	933	PCHAS_0500200	05	S7	S	5L	NA	NA
PCHAS_0500400	PIR protein	3117	PCHAS_0500400	05	L1	L	5L	NA	NA
PCHAS_0500600	PIR protein	858	PCHAS_0500600	05	S7	S	5L	NA	NA
PCHAS_0500700	PIR protein	918	PCHAS_0500700	05	L4	L	5L	NA	NA
PCHAS_0525411	PIR protein	930	PCHAS_0525411	05	S7	S	5R	NA	NA
PCHAS_0525421	PIR protein	915	PCHAS_0525421	05	S3	S	5R	NA	NA
PCHAS_0600200	PIR protein	984	PCHAS_0600200	06	S7	S	6L	NA	NA
PCHAS_0600300	PIR protein	879	PCHAS_0600300	06	L4	L	6L	NA	NA
PCHAS_0600500	PIR protein	984	PCHAS_0600500	06	L4	L	6L	NA	NA
PCHAS_0600600	PIR protein	945	PCHAS_0600600	06	L4	L	6L	NA	NA
PCHAS_0600700	PIR protein	2928	PCHAS_0600700	06	L1	L	6L	NA	NA
PCHAS_0600800	PIR protein	4443	PCHAS_0600800	06	L1	L	6L	ChAPL	6L_ChAPL
PCHAS_0600900	PIR protein	2277	PCHAS_0600900	06	L1	L	6L	ChAPL	6L_ChAPL
PCHAS_0601000	PIR protein	3780	PCHAS_0601000	06	L1	L	6L	ChAPL	6L_ChAPL
PCHAS_0601100	PIR protein	3342	PCHAS_0601100	06	L1	L	6L	ChAPL	6L_ChAPL
PCHAS_0601200	PIR protein	1878	PCHAS_0601200	06	L1	L	6L	ChAPL	6L_ChAPL
PCHAS_0601300	PIR protein	2082	PCHAS_0601300	06	L1	L	6L	ChAPL	6L_ChAPL
PCHAS_0601400	PIR protein	951	PCHAS_0601400	06	L4	L	6L	NA	NA
PCHAS_0601600	PIR protein	3552	PCHAS_0601600	06	L1	L	6L	NA	NA
PCHAS_0602000	hypothetical protein, pseudogene	990	PCHAS_0602000	06	unk	unk	6L	NA	NA
PCHAS_0626200	PIR protein	2148	PCHAS_0626200	06	L1	L	6R	ChAPL	6R_ChAPL
PCHAS_0626300	PIR protein	1746	PCHAS_0626300	06	L1	L	6R	ChAPL	6R_ChAPL
PCHAS_0626400	PIR protein	2985	PCHAS_0626400	06	L1	L	6R	ChAPL	6R_ChAPL
PCHAS_0626500	PIR protein	4155	PCHAS_0626500	06	L1	L	6R	ChAPL	6R_ChAPL
PCHAS_0626600	PIR protein	2319	PCHAS_0626600	06	L1	L	6R	ChAPL	6R_ChAPL
PCHAS_0626700	PIR protein	1986	PCHAS_0626700	06	L4	L	6R	ChAPL	6R_ChAPL
PCHAS_0626800	PIR protein	4338	PCHAS_0626800	06	L1	L	6R	ChAPL	6R_ChAPL
PCHAS_0626900	PIR protein	945	PCHAS_0626900	06	L4	L	6R	ChAPL	6R_ChAPL
PCHAS_0627100	PIR protein	951	PCHAS_0627100	06	L4	L	6R	ChAPL	6R_ChAPL
PCHAS_0627200	PIR protein	960	PCHAS_0627200	06	S7	S	6R	NA	NA
PCHAS_0700200	PIR protein	975	PCHAS_0700200	07	S7	S	7L	NA	NA
PCHAS_0700300	PIR protein	933	PCHAS_0700300	07	S1	S	7L	NA	NA
PCHAS_0700400	PIR protein	1620	PCHAS_0700400	07	L1	L	7L	NA	NA
PCHAS_0700500	PIR protein	894	PCHAS_0700500	07	S7	S	7L	NA	NA
PCHAS_0700600	PIR protein	1887	PCHAS_0700600	07	L1	L	7L	NA	NA
PCHAS_0700700	PIR protein	3735	PCHAS_0700700	07	L1	L	7L	NA	NA
PCHAS_0700900	PIR protein, pseudogene	885	PCHAS_0700900	07	S7	S	7L	NA	NA
PCHAS_0701000	PIR protein	1074	PCHAS_0701000	07	L4	L	7L	NA	NA
PCHAS_0701300	PIR protein	894	PCHAS_0701300	07	S7	S	7L	NA	NA
PCHAS_0701400	PIR protein	5715	PCHAS_0701400	07	L4	L	7L	NA	NA
PCHAS_0701600	PIR protein	903	PCHAS_0701600	07	S7	S	7L	NA	NA
PCHAS_0701700	PIR protein	3246	PCHAS_0701700	07	L1	L	7L	NA	NA
PCHAS_0731300	PIR protein	2118	PCHAS_0731300	07	L1	L	7R	NA	NA
PCHAS_0731500	PIR protein	2052	PCHAS_0731500	07	L1	L	7R	NA	NA
PCHAS_0731600	PIR protein	909	PCHAS_0731600	07	S7	S	7R	NA	NA
PCHAS_0731800	PIR protein	933	PCHAS_0731800	07	S7	S	7R	NA	NA
PCHAS_0731900	PIR protein	906	PCHAS_0731900	07	S1	S	7R	NA	NA
PCHAS_0732000	PIR protein	930	PCHAS_0732000	07	S7	S	7R	NA	NA
PCHAS_0800005	PIR protein	939	PCHAS_0800005	08	S7	S	8L	NA	NA
PCHAS_0800011	PIR protein	879	PCHAS_0800011	08	S7	S	8L	NA	NA
PCHAS_0800015	PIR protein	915	PCHAS_0800015	08	S7	S	8L	NA	NA
PCHAS_0800025	PIR protein	1371	PCHAS_0800025	08	L1	L	8L	NA	NA
PCHAS_0800035	PIR protein	3159	PCHAS_0800035	08	L1	L	8L	NA	NA
PCHAS_0800051	PIR protein	897	PCHAS_0800051	08	S1	S	8L	NA	NA
PCHAS_0800055	PIR protein	1845	PCHAS_0800055	08	L1	L	8L	NA	NA
PCHAS_0836900	PIR protein	1962	PCHAS_0836900	08	L1	L	8R	NA	NA
PCHAS_0837200	PIR protein	3801	PCHAS_0837200	08	L1	L	8R	NA	NA
PCHAS_0837600	PIR protein	927	PCHAS_0837600	08	L4	L	8R	NA	NA
PCHAS_0837800	PIR protein	2928	PCHAS_0837800	08	L1	L	8R	NA	NA
PCHAS_0838000	PIR protein	918	PCHAS_0838000	08	S7	S	8R	NA	NA
PCHAS_0900001	PIR protein	942	PCHAS_0900001	09	L4	L	9L	NA	NA
PCHAS_0900005	PIR protein	1725	PCHAS_0900005	09	S7	S	9L	NA	NA
PCHAS_0900011	PIR protein	921	PCHAS_0900011	09	S7	S	9L	NA	NA
PCHAS_0900015	PIR protein	912	PCHAS_0900015	09	S7	S	9L	NA	NA
PCHAS_0900021	PIR protein	1371	PCHAS_0900021	09	L1	L	9L	NA	NA
PCHAS_0900031	PIR protein	3561	PCHAS_0900031	09	L1	L	9L	NA	NA
PCHAS_0900041	PIR protein	858	PCHAS_0900041	09	S1	S	9L	NA	NA
PCHAS_0900045	PIR protein	1089	PCHAS_0900045	09	L4	L	9L	NA	NA
PCHAS_0900100	PIR protein	3288	PCHAS_0900100	09	L1	L	9L	NA	NA
PCHAS_0900300	PIR protein, pseudogene	2367	PCHAS_0900300	09	L1	L	9L	NA	NA
PCHAS_0938200	PIR protein, pseudogene	906	PCHAS_0938200	09	S7	S	9R	NA	NA
PCHAS_0938341	PIR protein	951	PCHAS_0938341	09	S7	S	9R	NA	NA
PCHAS_1000300	PIR protein	924	PCHAS_1000300	10	S3	S	10L	NA	NA
PCHAS_1000400	PIR protein	927	PCHAS_1000400	10	S7	S	10L	NA	NA
PCHAS_1000600	PIR protein	3228	PCHAS_1000600	10	L1	L	10L	NA	NA
PCHAS_1001100	PIR protein	4470	PCHAS_1001100	10	L1	L	10L	NA	NA
PCHAS_1001351	CIR protein, fragment	423	PCHAS_1001351	10	L1	L	10L	NA	NA
PCHAS_1041100	PIR protein	1125	PCHAS_1041100	10	L1	L	10R	NA	NA
PCHAS_1042000	PIR protein	1371	PCHAS_1042000	10	L1	L	10R	NA	NA
PCHAS_1042300	PIR protein	918	PCHAS_1042300	10	S7	S	10R	NA	NA
PCHAS_1042500	PIR protein	921	PCHAS_1042500	10	S7	S	10R	NA	NA
PCHAS_1042600	PIR protein	927	PCHAS_1042600	10	S7	S	10R	NA	NA
PCHAS_1042700	PIR protein	417	PCHAS_1042700	10	S7	S	10R	NA	NA
PCHAS_1100200	PIR protein	846	PCHAS_1100200	11	S7	S	11L	NA	NA
PCHAS_1100300	PIR protein	1911	PCHAS_1100300	11	L1	L	11L	NA	NA
PCHAS_1146000	PIR protein	3528	PCHAS_1146000	11	L1	L	11R	NA	NA
PCHAS_1146400	PIR protein	1026	PCHAS_1146400	11	L4	L	11R	NA	NA
PCHAS_1147000	PIR protein	3729	PCHAS_1147000	11	L1	L	11R	NA	NA
PCHAS_1147200	PIR protein	1371	PCHAS_1147200	11	L1	L	11R	NA	NA
PCHAS_1147300	PIR protein	921	PCHAS_1147300	11	S3	S	11R	NA	NA
PCHAS_1147400	PIR protein	930	PCHAS_1147400	11	S1	S	11R	NA	NA
PCHAS_1147500	PIR protein	921	PCHAS_1147500	11	S7	S	11R	NA	NA
PCHAS_1147521	PIR protein	921	PCHAS_1147521	11	S7	S	11R	NA	NA
PCHAS_1200200	PIR protein	930	PCHAS_1200200	12	S7	S	12L	AAPL	12L_AAPL
PCHAS_1200300	PIR protein	954	PCHAS_1200300	12	L4	L	12L	AAPL	12L_AAPL
PCHAS_1200400	PIR protein	987	PCHAS_1200400	12	S7	S	12L	AAPL	12L_AAPL
PCHAS_1200500	PIR protein	915	PCHAS_1200500	12	S7	S	12L	AAPL	12L_AAPL
PCHAS_1200600	PIR protein	912	PCHAS_1200600	12	S7	S	12L	AAPL	12L_AAPL
PCHAS_1200700	PIR protein	882	PCHAS_1200700	12	S7	S	12L	AAPL	12L_AAPL
PCHAS_1247000	conserved rodent malaria protein, unknown function	756	PCHAS_1247000	12	unk	unk	12R	NA	NA
PCHAS_1247400	PIR protein	1968	PCHAS_1247400	12	L4	L	12R	NA	NA
PCHAS_1247500	PIR protein	948	PCHAS_1247500	12	S7	S	12R	NA	NA
PCHAS_1248000	PIR protein	2082	PCHAS_1248000	12	L1	L	12R	NA	NA
PCHAS_1248300	PIR protein	2613	PCHAS_1248300	12	L1	L	12R	NA	NA
PCHAS_1300101	PIR protein	843	PCHAS_1300101	13	S7	S	13L	NA	NA
PCHAS_1300201	PIR protein	861	PCHAS_1300201	13	S7	S	13L	NA	NA
PCHAS_1300301	PIR protein	927	PCHAS_1300301	13	S1	S	13L	NA	NA
PCHAS_1300401	PIR protein	954	PCHAS_1300401	13	S7	S	13L	NA	NA
PCHAS_1300601	PIR protein	2394	PCHAS_1300601	13	L1	L	13L	NA	NA
PCHAS_1301700	PIR protein	2775	PCHAS_1301700	13	L1	L	13L	NA	NA
PCHAS_1302200	PIR protein	2421	PCHAS_1302200	13	L1	L	13L	NA	NA
PCHAS_1302800	PIR protein	3570	PCHAS_1302800	13	L1	L	13L	NA	NA
PCHAS_1303500	PIR protein	1914	PCHAS_1303500	13	L1	L	13L	NA	NA
PCHAS_1370300	PIR protein	3297	PCHAS_1370300	13	L1	L	13R	NA	NA
PCHAS_1370900	PIR protein	3771	PCHAS_1370900	13	L1	L	13R	NA	NA
PCHAS_1371100	PIR protein	1491	PCHAS_1371100	13	L1	L	13R	AAPL	13R_AAPL
PCHAS_1371200	PIR protein	933	PCHAS_1371200	13	S7	S	13R	AAPL	13R_AAPL
PCHAS_1371300	PIR protein	909	PCHAS_1371300	13	S7	S	13R	AAPL	13R_AAPL
PCHAS_1371400	PIR protein	924	PCHAS_1371400	13	S7	S	13R	AAPL	13R_AAPL
PCHAS_1371500	PIR protein	960	PCHAS_1371500	13	S1	S	13R	AAPL	13R_AAPL
PCHAS_1371600	PIR protein	1692	PCHAS_1371600	13	S7	S	13R	AAPL	13R_AAPL
PCHAS_1371700	PIR protein	912	PCHAS_1371700	13	S7	S	13R	NA	NA
PCHAS_1371900	PIR protein	945	PCHAS_1371900	13	S7	S	13R	NA	NA
PCHAS_1400200	PIR protein	969	PCHAS_1400200	14	S7	S	14L	NA	NA
PCHAS_1400300	PIR protein	918	PCHAS_1400300	14	S1	S	14L	NA	NA
PCHAS_1400400	PIR protein	927	PCHAS_1400400	14	S1	S	14L	NA	NA
PCHAS_1400700	PIR protein	930	PCHAS_1400700	14	L4	L	14L	NA	NA
PCHAS_1400900	PIR protein	861	PCHAS_1400900	14	S7	S	14L	NA	NA
PCHAS_1401300	PIR protein	867	PCHAS_1401300	14	S1	S	14L	NA	NA
PCHAS_1401400	PIR protein	1863	PCHAS_1401400	14	L1	L	14L	NA	NA
PCHAS_1467700	PIR protein	3432	PCHAS_1467700	14	L1	L	14R	NA	NA
PCHAS_1467900	PIR protein	3576	PCHAS_1467900	14	L1	L	14R	NA	NA
PCHAS_1468400	PIR protein, pseudogene	861	PCHAS_1468400	14	S1	S	14R	NA	NA
PCHAS_1468500	PIR protein	1083	PCHAS_1468500	14	L4	L	14R	NA	NA
PCHAS_1468600	PIR protein	1770	PCHAS_1468600	14	L1	L	14R	NA	NA
PCHAS_1468700	PIR protein	936	PCHAS_1468700	14	L4	L	14R	NA	NA
